Date,EDH2020,EDZ2014,EDH2015,EDM2015,EDU2015,EDZ2015,EDH2016,EDM2016,EDU2016,EDZ2016,EDH2017,EDM2017,EDU2017,EDZ2017,EDH2018,EDM2018,EDU2018,EDZ2018,EDH2019,EDM2019,EDU2019,EDZ2019,EDM2020,EDU2020,EDZ2020
2013-01-02,3.094999999999999,0.5799999999999983,0.644999999999996,0.7199999999999989,0.8100000000000023,0.9249999999999972,1.0550000000000068,1.2000000000000028,1.355000000000004,1.5250000000000057,1.6800000000000068,1.8499999999999943,2.0049999999999955,2.1700000000000017,2.2950000000000017,2.4200000000000017,2.5400000000000063,2.6700000000000017,2.7650000000000006,2.855000000000004,2.944999999999993,3.0349999999999966,3.1599999999999966,3.2249999999999943,3.2950000000000017
2013-01-03,3.1700000000000017,0.6149999999999949,0.6899999999999977,0.7750000000000057,0.8700000000000045,0.9899999999999949,1.1200000000000045,1.2650000000000006,1.4200000000000017,1.5900000000000034,1.75,1.9200000000000017,2.075000000000003,2.239999999999995,2.364999999999995,2.489999999999995,2.6099999999999994,2.7349999999999994,2.8299999999999983,2.924999999999997,3.0150000000000006,3.1099999999999994,3.2349999999999994,3.305000000000007,3.3799999999999955
2013-01-04,3.200000000000003,0.6149999999999949,0.6899999999999977,0.7750000000000057,0.875,1.0,1.1350000000000051,1.2849999999999966,1.4449999999999932,1.6200000000000045,1.7800000000000011,1.9500000000000028,2.105000000000004,2.269999999999996,2.394999999999996,2.519999999999996,2.6400000000000006,2.7650000000000006,2.8599999999999994,2.9549999999999983,3.0450000000000017,3.1400000000000006,3.2650000000000006,3.3349999999999937,3.4099999999999966
2013-01-07,3.180000000000007,0.605000000000004,0.6800000000000068,0.769999999999996,0.8700000000000045,0.9950000000000045,1.125,1.2750000000000057,1.4350000000000023,1.605000000000004,1.7600000000000051,1.9300000000000068,2.0849999999999937,2.25,2.375,2.5,2.6200000000000045,2.7450000000000045,2.8400000000000034,2.9350000000000023,3.0250000000000057,3.1200000000000045,3.2450000000000045,3.3149999999999977,3.3900000000000006
2013-01-08,3.1299999999999955,0.5799999999999983,0.6550000000000011,0.7399999999999949,0.8400000000000034,0.9599999999999937,1.0849999999999937,1.230000000000004,1.3850000000000051,1.5499999999999972,1.7049999999999983,1.8700000000000045,2.0250000000000057,2.1899999999999977,2.319999999999993,2.444999999999993,2.5649999999999977,2.6899999999999977,2.7849999999999966,2.8799999999999955,2.969999999999999,3.0649999999999977,3.194999999999993,3.2650000000000006,3.3400000000000034
2013-01-09,3.105000000000004,0.5649999999999977,0.6400000000000006,0.7249999999999943,0.8250000000000028,0.9399999999999977,1.0649999999999977,1.2099999999999937,1.3649999999999949,1.5250000000000057,1.6749999999999972,1.8400000000000034,1.9950000000000045,2.1599999999999966,2.2900000000000063,2.4150000000000063,2.5349999999999966,2.6599999999999966,2.7549999999999955,2.8499999999999943,2.9399999999999977,3.0400000000000063,3.1700000000000017,3.239999999999995,3.3149999999999977
2013-01-10,3.180000000000007,0.5849999999999937,0.6650000000000063,0.7549999999999955,0.8599999999999994,0.9849999999999994,1.1149999999999949,1.2650000000000006,1.4200000000000017,1.5849999999999937,1.7399999999999949,1.9099999999999966,2.0649999999999977,2.230000000000004,2.3599999999999994,2.489999999999995,2.6099999999999994,2.7349999999999994,2.8299999999999983,2.924999999999997,3.0150000000000006,3.114999999999995,3.2450000000000045,3.3149999999999977,3.3900000000000006
2013-01-11,3.144999999999996,0.5900000000000034,0.6700000000000017,0.7600000000000051,0.8599999999999994,0.980000000000004,1.1149999999999949,1.2600000000000051,1.4150000000000063,1.5750000000000028,1.7249999999999943,1.8900000000000006,2.0450000000000017,2.2049999999999983,2.3299999999999983,2.4549999999999983,2.575000000000003,2.700000000000003,2.7950000000000017,2.8900000000000006,2.980000000000004,3.0799999999999983,3.2099999999999937,3.280000000000001,3.355000000000004
2013-01-14,3.0999999999999943,0.5699999999999932,0.644999999999996,0.730000000000004,0.8299999999999983,0.9549999999999983,1.0900000000000034,1.2349999999999994,1.3850000000000051,1.5450000000000017,1.6899999999999977,1.8499999999999943,2.0,2.1599999999999966,2.2849999999999966,2.4099999999999966,2.530000000000001,2.655000000000001,2.75,2.844999999999999,2.9350000000000023,3.0349999999999966,3.1650000000000063,3.2349999999999994,3.3100000000000023
2013-01-15,3.075000000000003,0.5450000000000017,0.6149999999999949,0.7000000000000028,0.7999999999999972,0.9249999999999972,1.0550000000000068,1.2000000000000028,1.355000000000004,1.5150000000000006,1.6599999999999966,1.8199999999999932,1.9699999999999989,2.1299999999999955,2.2549999999999955,2.3799999999999955,2.5,2.625,2.719999999999999,2.8149999999999977,2.9099999999999966,3.010000000000005,3.1400000000000006,3.2099999999999937,3.2849999999999966
2013-01-16,3.0900000000000034,0.5400000000000063,0.6099999999999994,0.6949999999999932,0.7950000000000017,0.9150000000000063,1.0450000000000017,1.1899999999999977,1.3400000000000034,1.5,1.644999999999996,1.8050000000000068,1.9599999999999937,2.1200000000000045,2.2450000000000045,2.375,2.5,2.625,2.719999999999999,2.819999999999993,2.9200000000000017,3.0250000000000057,3.1599999999999966,3.230000000000004,3.3100000000000023
